Day,Hour,Temp,PredictedKwh
12/12/2014,9,35.06,103.7063114
12/12/2014,10,36.32,107.2029526
12/12/2014,11,35.96,106.203641
12/12/2014,12,37.04,109.2022267
12/12/2014,13,37.67,110.9523034
12/12/2014,14,37.94,111.7025397
12/12/2014,15,37.94,111.7025397
12/12/2014,16,37.04,109.2022267
12/12/2014,17,35.96,106.203641
12/12/2014,18,36.68,108.2024812
12/12/2014,19,35.33,35.01085421
12/12/2014,20,33.98,31.26679217
12/12/2014,21,33.98,31.26679217
12/12/2014,22,33.98,31.26679217
12/12/2014,23,33.08,28.77244592
12/13/2014,0,33.08,-43.81382394
12/13/2014,1,33.08,-43.81382394
12/13/2014,2,33.08,-43.81382394
12/13/2014,3,32,-46.80524939
12/13/2014,4,32,-46.80524939
12/13/2014,5,32,-46.80524939
12/13/2014,6,32,-46.80524939
12/13/2014,7,33.08,25.63068976
12/13/2014,8,33.8,27.62605827
12/13/2014,9,35.06,31.12004154
12/13/2014,10,35.96,33.61737119
12/13/2014,11,37.94,39.11626986
12/13/2014,12,39.92,44.62173203
12/13/2014,13,41,47.62747782
12/13/2014,14,41,47.62747782
12/13/2014,15,39.92,44.62173203
12/13/2014,16,39.02,42.11843557
12/13/2014,17,39.02,42.11843557
12/13/2014,18,37.94,39.11626986
12/13/2014,19,37.04,-32.82855689
12/13/2014,20,35.96,-35.82714251
12/13/2014,21,33.98,-41.3194777
12/13/2014,22,33.98,-41.3194777
12/13/2014,23,33.08,-43.81382394
12/14/2014,0,33.98,-53.26686598
12/14/2014,1,33.98,-53.26686598
12/14/2014,2,33.98,-53.26686598
12/14/2014,3,33.98,-53.26686598
12/14/2014,4,33.08,-55.76121223
12/14/2014,5,33.98,-53.26686598
12/14/2014,6,33.98,-53.26686598
12/14/2014,7,33.98,16.17764772
12/14/2014,8,35.42,20.17142238
12/14/2014,9,37.04,24.66856852
12/14/2014,10,39.02,30.17104729
12/14/2014,11,41,35.68008954
12/14/2014,12,42.98,41.19569528
12/14/2014,13,44.06,44.20697394
12/14/2014,14,44.06,44.20697394
12/14/2014,15,42.98,41.19569528
12/14/2014,16,41,35.68008954
12/14/2014,17,39.92,32.67434374
12/14/2014,18,37.94,27.16888158
12/14/2014,19,37.04,-44.77594518
12/14/2014,20,35.06,-50.27186045
12/14/2014,21,35.06,-50.27186045
12/14/2014,22,33.98,-53.26686598
12/14/2014,23,33.98,-53.26686598
12/15/2014,0,33.98,23.30186664
12/15/2014,1,33.08,20.8075204
12/15/2014,2,33.08,20.8075204
12/15/2014,3,33.08,20.8075204
12/15/2014,4,33.08,20.8075204
12/15/2014,5,33.08,20.8075204
12/15/2014,6,32,17.81609495
12/15/2014,7,33.98,92.74638034
12/15/2014,8,35.06,95.74138588
12/15/2014,9,37.04,101.2373011
12/15/2014,10,39.02,106.7397799
12/15/2014,11,41,112.2488222
12/15/2014,12,39.92,109.2430764
12/15/2014,13,39.92,109.2430764
12/15/2014,14,39.02,106.7397799
12/15/2014,15,37.94,103.7376142
12/15/2014,16,37.04,101.2373011
12/15/2014,17,39.02,106.7397799
12/15/2014,18,37.04,101.2373011
12/15/2014,19,37.94,34.2931005
12/15/2014,20,35.96,28.79420183
12/15/2014,21,35.96,28.79420183
12/15/2014,22,36.32,29.79351339
12/15/2014,23,37.94,34.2931005
12/16/2014,0,35.96,30.78543321
12/16/2014,1,35.06,28.28810356
12/16/2014,2,35.06,28.28810356
12/16/2014,3,35.06,28.28810356
12/16/2014,4,35.96,30.78543321
12/16/2014,5,37.04,33.78401883
12/16/2014,6,37.94,36.28433188
12/16/2014,7,39.02,108.7310113
12/16/2014,8,39.02,108.7310113
12/16/2014,9,39.92,111.2343078
12/16/2014,10,41,114.2400535
12/16/2014,11,39.92,111.2343078
12/16/2014,12,39.92,111.2343078
12/16/2014,13,39.92,111.2343078
12/16/2014,14,39.92,111.2343078
12/16/2014,15,39.92,111.2343078
12/16/2014,16,41,114.2400535
12/16/2014,17,41.54,115.7436587
12/16/2014,18,42.08,117.2477521
12/16/2014,19,42.98,50.31114559
12/16/2014,20,43.43,51.56560771
12/16/2014,21,44.06,53.32242425
