"Day","Hour","Temp","kwh"
"12/19/2014",21,30.02,50.6871367371064
"12/19/2014",22,28.94,50.6871367371064
"12/19/2014",23,28.94,50.6871367371064
"12/20/2014",0,28.04,50.6871367371064
"12/20/2014",1,28.04,50.6871367371064
"12/20/2014",2,28.04,50.6871367371064
"12/20/2014",3,28.04,50.6871367371064
"12/20/2014",4,28.04,50.6871367371064
"12/20/2014",5,28.04,50.6871367371064
"12/20/2014",6,26.96,50.6871367371064
"12/20/2014",7,28.04,95.2555685137027
"12/20/2014",8,30.02,95.2555685137027
"12/20/2014",9,30.11,95.2555685137027
"12/20/2014",10,30.92,95.2555685137027
"12/20/2014",11,33.08,95.2555685137027
"12/20/2014",12,33.08,95.2555685137027
"12/20/2014",13,33.98,56.3471136776725
"12/20/2014",14,33.8,56.3471136776725
"12/20/2014",15,33.98,56.3471136776725
"12/20/2014",16,33.08,56.3471136776725
"12/20/2014",17,33.44,56.3471136776725
"12/20/2014",18,33.89,56.3471136776725
"12/20/2014",19,35.06,50.6871367371064
"12/20/2014",20,35.06,50.6871367371064
"12/20/2014",21,35.06,50.6871367371064
"12/20/2014",22,35.06,50.6871367371064
"12/20/2014",23,35.06,50.6871367371064
"12/21/2014",0,35.06,50.6871367371064
"12/21/2014",1,35.33,50.6871367371064
"12/21/2014",2,35.06,50.6871367371064
"12/21/2014",3,35.06,50.6871367371064
"12/21/2014",4,32,50.6871367371064
"12/21/2014",5,32,50.6871367371064
"12/21/2014",6,30.92,50.6871367371064
"12/21/2014",7,30.02,95.2555685137027
"12/21/2014",8,30.02,95.2555685137027
"12/21/2014",9,30.11,95.2555685137027
"12/21/2014",10,30.92,95.2555685137027
"12/21/2014",11,32,95.2555685137027
"12/21/2014",12,32,95.2555685137027
"12/21/2014",13,33.08,56.3471136776725
"12/21/2014",14,33.08,56.3471136776725
"12/21/2014",15,33.8,56.3471136776725
"12/21/2014",16,33.98,56.3471136776725
"12/21/2014",17,33.89,56.3471136776725
"12/21/2014",18,33.98,56.3471136776725
"12/21/2014",19,33.98,50.6871367371064
"12/21/2014",20,33.98,50.6871367371064
"12/21/2014",21,33.98,50.6871367371064
"12/21/2014",22,33.98,50.6871367371064
"12/21/2014",23,33.98,50.6871367371064
"12/22/2014",0,33.08,50.6871367371064
"12/22/2014",1,33.08,50.6871367371064
"12/22/2014",2,33.08,50.6871367371064
"12/22/2014",3,33.08,50.6871367371064
"12/22/2014",4,33.08,50.6871367371064
"12/22/2014",5,33.08,50.6871367371064
"12/22/2014",6,33.56,50.6871367371064
"12/22/2014",7,33.98,95.2555685137027
"12/22/2014",8,35.06,95.2555685137027
"12/22/2014",9,37.94,95.2555685137027
"12/22/2014",10,39.92,95.2555685137027
"12/22/2014",11,42.08,95.2555685137027
"12/22/2014",12,44.06,95.2555685137027
"12/22/2014",13,43.46,56.3471136776725
"12/22/2014",14,42.44,56.3471136776725
"12/22/2014",15,41.9,56.3471136776725
"12/22/2014",16,41,56.3471136776725
"12/22/2014",17,41,56.3471136776725
"12/22/2014",18,40.1,56.3471136776725
"12/22/2014",19,42.56,50.6871367371064
"12/22/2014",20,41,50.6871367371064
"12/22/2014",21,42.08,50.6871367371064
"12/22/2014",22,42.08,50.6871367371064
"12/22/2014",23,42.08,50.6871367371064
"12/23/2014",0,42.89,50.6871367371064
"12/23/2014",1,42.89,50.6871367371064
"12/23/2014",2,42.86,50.6871367371064
"12/23/2014",3,42.86,50.6871367371064
"12/23/2014",4,43.43,50.6871367371064
"12/23/2014",5,42.98,50.6871367371064
"12/23/2014",6,42.845,50.6871367371064
"12/23/2014",7,44.06,95.2555685137027
"12/23/2014",8,44.06,95.2555685137027
"12/23/2014",9,44.96,95.2555685137027
"12/23/2014",10,44.06,95.2555685137027
"12/23/2014",11,44.96,95.2555685137027
"12/23/2014",12,44.96,95.2555685137027
"12/23/2014",13,44.72,56.3471136776725
"12/23/2014",14,44.96,56.3471136776725
"12/23/2014",15,44.96,56.3471136776725
"12/23/2014",16,45.68,56.3471136776725
"12/23/2014",17,46.04,56.3471136776725
"12/23/2014",18,46.04,56.3471136776725
"12/23/2014",19,46.04,50.6871367371064
"12/23/2014",20,46.04,50.6871367371064
"12/23/2014",21,42.98,50.6871367371064
"12/23/2014",22,42.98,50.6871367371064
"12/23/2014",23,42.08,50.6871367371064
"12/24/2014",0,42.08,50.6871367371064
"12/24/2014",1,42.08,50.6871367371064
"12/24/2014",2,42.08,50.6871367371064
"12/24/2014",3,42.08,50.6871367371064
"12/24/2014",4,41,50.6871367371064
"12/24/2014",5,41,50.6871367371064
"12/24/2014",6,41,50.6871367371064
"12/24/2014",7,42.08,95.2555685137027
"12/24/2014",8,42.08,95.2555685137027
