"date","month","day","year","hour","DayOfWeek","Weekday","PeakHour","temp"
2014-12-11,"12","11","2014",16,4,1,1,33.89
2014-12-11,"12","11","2014",17,4,1,1,33.98
2014-12-11,"12","11","2014",18,4,1,1,33.08
2014-12-11,"12","11","2014",19,4,1,0,33.08
2014-12-11,"12","11","2014",20,4,1,0,32
2014-12-11,"12","11","2014",21,4,1,0,32
2014-12-11,"12","11","2014",22,4,1,0,32
2014-12-11,"12","11","2014",23,4,1,0,32
2014-12-12,"12","12","2014",0,5,1,0,32
2014-12-12,"12","12","2014",1,5,1,0,30.92
2014-12-12,"12","12","2014",2,5,1,0,30.92
2014-12-12,"12","12","2014",3,5,1,0,30.92
2014-12-12,"12","12","2014",4,5,1,0,30.92
2014-12-12,"12","12","2014",5,5,1,0,32
2014-12-12,"12","12","2014",6,5,1,0,32
2014-12-12,"12","12","2014",7,5,1,1,32
2014-12-12,"12","12","2014",8,5,1,1,33.98
2014-12-12,"12","12","2014",9,5,1,1,35.06
2014-12-12,"12","12","2014",10,5,1,1,36.32
2014-12-12,"12","12","2014",11,5,1,1,35.96
2014-12-12,"12","12","2014",12,5,1,1,37.04
2014-12-12,"12","12","2014",13,5,1,1,37.67
2014-12-12,"12","12","2014",14,5,1,1,37.94
2014-12-12,"12","12","2014",15,5,1,1,37.94
2014-12-12,"12","12","2014",16,5,1,1,37.04
2014-12-12,"12","12","2014",17,5,1,1,35.96
2014-12-12,"12","12","2014",18,5,1,1,36.68
2014-12-12,"12","12","2014",19,5,1,0,35.33
2014-12-12,"12","12","2014",20,5,1,0,33.98
2014-12-12,"12","12","2014",21,5,1,0,33.98
2014-12-12,"12","12","2014",22,5,1,0,33.98
2014-12-12,"12","12","2014",23,5,1,0,33.08
2014-12-13,"12","13","2014",0,6,0,0,33.08
2014-12-13,"12","13","2014",1,6,0,0,33.08
2014-12-13,"12","13","2014",2,6,0,0,33.08
2014-12-13,"12","13","2014",3,6,0,0,32
2014-12-13,"12","13","2014",4,6,0,0,32
2014-12-13,"12","13","2014",5,6,0,0,32
2014-12-13,"12","13","2014",6,6,0,0,32
2014-12-13,"12","13","2014",7,6,0,1,33.08
2014-12-13,"12","13","2014",8,6,0,1,33.8
2014-12-13,"12","13","2014",9,6,0,1,35.06
2014-12-13,"12","13","2014",10,6,0,1,35.96
2014-12-13,"12","13","2014",11,6,0,1,37.94
2014-12-13,"12","13","2014",12,6,0,1,39.92
2014-12-13,"12","13","2014",13,6,0,1,41
2014-12-13,"12","13","2014",14,6,0,1,41
2014-12-13,"12","13","2014",15,6,0,1,39.92
2014-12-13,"12","13","2014",16,6,0,1,39.02
2014-12-13,"12","13","2014",17,6,0,1,39.02
2014-12-13,"12","13","2014",18,6,0,1,37.94
2014-12-13,"12","13","2014",19,6,0,0,37.04
2014-12-13,"12","13","2014",20,6,0,0,35.96
2014-12-13,"12","13","2014",21,6,0,0,33.98
2014-12-13,"12","13","2014",22,6,0,0,33.98
2014-12-13,"12","13","2014",23,6,0,0,33.08
2014-12-14,"12","14","2014",0,0,0,0,33.98
2014-12-14,"12","14","2014",1,0,0,0,33.98
2014-12-14,"12","14","2014",2,0,0,0,33.98
2014-12-14,"12","14","2014",3,0,0,0,33.98
2014-12-14,"12","14","2014",4,0,0,0,33.08
2014-12-14,"12","14","2014",5,0,0,0,33.98
2014-12-14,"12","14","2014",6,0,0,0,33.98
2014-12-14,"12","14","2014",7,0,0,1,33.98
2014-12-14,"12","14","2014",8,0,0,1,35.42
2014-12-14,"12","14","2014",9,0,0,1,37.04
2014-12-14,"12","14","2014",10,0,0,1,39.02
2014-12-14,"12","14","2014",11,0,0,1,41
